Date,Time,Transaction Type,Status,Chain,Buy Amount,Buy Currency,Buy Currency Address,Buy Fiat Amount,Buy Fiat Currency,Sell Amount,Sell Currency,Sell Currency Address,Sell Fiat Amount,Sell Fiat Currency,Fee Amount,Fee Currency,Fee Fiat Amount,Fee Fiat Currency,Tx Hash,Link,Timestamp,Incoming Transfers JSON,Outgoing Transfers JSON
08/10/54846,23:03,send,Confirmed,ethereum,"","","","","","0.4","ETH","0xa388b15f6d39182a52f58a5a5acca6694965c28d","485.08","USD",0.000537789304878,ETH,0.6521770900255506,USD,0x16f22ef4bdd66432cf54f43489653ee3f220bd683a65e8c954bb16578bfd46ad,https://etherscan.io/tx/0x16f22ef4bdd66432cf54f43489653ee3f220bd683a65e8c954bb16578bfd46ad,2022-11-16T18:50:35.000Z,"[]","[{""asset"":{""fungible"":{""id"":""eth"",""asset_code"":""eth"",""name"":""Ethereum"",""symbol"":""ETH"",""decimals"":18,""implementations"":{""optimism"":{""address"":null,""decimals"":18},""aurora"":{""address"":null,""decimals"":18},""arbitrum"":{""address"":null,""decimals"":18},""ethereum"":{""address"":null,""decimals"":18},""loopring"":{""address"":""0x0000000000000000000000000000000000000000"",""decimals"":18}},""type"":"""",""icon_url"":""https://token-icons.s3.amazonaws.com/eth.png"",""price"":{""value"":1210.6599999999892,""relative_change_24h"":-0.5135959109160324,""changed_at"":0},""is_displayable"":true,""is_verified"":true}},""quantity"":400000000000000000,""price"":1212.7,""recipient"":""0xa388b15f6d39182a52f58a5a5acca6694965c28d""}]"
08/10/54846,16:23,send,Confirmed,ethereum,"","","","","","0.5","ETH","0xd1438a73371559628edaf2b1e21148d66199806e","606.345","USD",0.000473322032736,ETH,0.57399289587861984,USD,0x9561a40dcaf9642812a090ddb047703fae91d7eb9224984dcb24764e21960233,https://etherscan.io/tx/0x9561a40dcaf9642812a090ddb047703fae91d7eb9224984dcb24764e21960233,2022-11-16T18:50:11.000Z,"[]","[{""asset"":{""fungible"":{""id"":""eth"",""asset_code"":""eth"",""name"":""Ethereum"",""symbol"":""ETH"",""decimals"":18,""implementations"":{""aurora"":{""address"":null,""decimals"":18},""arbitrum"":{""address"":null,""decimals"":18},""loopring"":{""address"":""0x0000000000000000000000000000000000000000"",""decimals"":18},""optimism"":{""address"":null,""decimals"":18},""ethereum"":{""address"":null,""decimals"":18}},""type"":"""",""icon_url"":""https://token-icons.s3.amazonaws.com/eth.png"",""price"":{""value"":1210.6599999999892,""relative_change_24h"":-0.5135959109160324,""changed_at"":0},""is_displayable"":true,""is_verified"":true}},""quantity"":500000000000000000,""price"":1212.69,""recipient"":""0xd1438a73371559628edaf2b1e21148d66199806e""}]"
08/10/54846,13:03,send,Confirmed,ethereum,"","","","","","0.5","ETH","0xa2a2de6b9e2826914481da6552cc4358ccf07263","606.345","USD",0.000448662845169,ETH,0.54408894570799461,USD,0xcb2431d2e354a1ce8574dc63386b2ff4deeacafb4bfd66f7eb3b43ad346aaae8,https://etherscan.io/tx/0xcb2431d2e354a1ce8574dc63386b2ff4deeacafb4bfd66f7eb3b43ad346aaae8,2022-11-16T18:49:59.000Z,"[]","[{""asset"":{""fungible"":{""id"":""eth"",""asset_code"":""eth"",""name"":""Ethereum"",""symbol"":""ETH"",""decimals"":18,""implementations"":{""optimism"":{""address"":null,""decimals"":18},""loopring"":{""address"":""0x0000000000000000000000000000000000000000"",""decimals"":18},""aurora"":{""address"":null,""decimals"":18},""ethereum"":{""address"":null,""decimals"":18},""arbitrum"":{""address"":null,""decimals"":18}},""type"":"""",""icon_url"":""https://token-icons.s3.amazonaws.com/eth.png"",""price"":{""value"":1210.6599999999892,""relative_change_24h"":-0.5135959109160324,""changed_at"":0},""is_displayable"":true,""is_verified"":true}},""quantity"":500000000000000000,""price"":1212.69,""recipient"":""0xa2a2de6b9e2826914481da6552cc4358ccf07263""}]"
08/10/54846,09:43,send,Confirmed,ethereum,"","","","","","0.4","ETH","0x0880700eb52d81c8cc94ae57bf064e4c11f8005d","485.076","USD",0.000443212302666,ETH,0.53747912732003154,USD,0xb817c2cebd5b84ebb9ef46c7512a2513c2a40b7c4ea4b88fa6ebb3ff60ff2348,https://etherscan.io/tx/0xb817c2cebd5b84ebb9ef46c7512a2513c2a40b7c4ea4b88fa6ebb3ff60ff2348,2022-11-16T18:49:47.000Z,"[]","[{""asset"":{""fungible"":{""id"":""eth"",""asset_code"":""eth"",""name"":""Ethereum"",""symbol"":""ETH"",""decimals"":18,""implementations"":{""arbitrum"":{""address"":null,""decimals"":18},""optimism"":{""address"":null,""decimals"":18},""ethereum"":{""address"":null,""decimals"":18},""loopring"":{""address"":""0x0000000000000000000000000000000000000000"",""decimals"":18},""aurora"":{""address"":null,""decimals"":18}},""type"":"""",""icon_url"":""https://token-icons.s3.amazonaws.com/eth.png"",""price"":{""value"":1210.6599999999892,""relative_change_24h"":-0.5135959109160324,""changed_at"":0},""is_displayable"":true,""is_verified"":true}},""quantity"":400000000000000000,""price"":1212.69,""recipient"":""0x0880700eb52d81c8cc94ae57bf064e4c11f8005d""}]"
08/10/54846,06:23,send,Confirmed,ethereum,"","","","","","0.5","ETH","0x2fb6e909443d69afa6d25dce07ecc1193cfb1ad9","606.34","USD",0.000451998317148,ETH,0.54812931923903664,USD,0x368abafa97f1ea436a3ffcba22afa354cd37d56953530d2f0950bfb27d3cadba,https://etherscan.io/tx/0x368abafa97f1ea436a3ffcba22afa354cd37d56953530d2f0950bfb27d3cadba,2022-11-16T18:49:35.000Z,"[]","[{""asset"":{""fungible"":{""id"":""eth"",""asset_code"":""eth"",""name"":""Ethereum"",""symbol"":""ETH"",""decimals"":18,""implementations"":{""aurora"":{""address"":null,""decimals"":18},""loopring"":{""address"":""0x0000000000000000000000000000000000000000"",""decimals"":18},""optimism"":{""address"":null,""decimals"":18},""ethereum"":{""address"":null,""decimals"":18},""arbitrum"":{""address"":null,""decimals"":18}},""type"":"""",""icon_url"":""https://token-icons.s3.amazonaws.com/eth.png"",""price"":{""value"":1210.6599999999892,""relative_change_24h"":-0.5135959109160324,""changed_at"":0},""is_displayable"":true,""is_verified"":true}},""quantity"":500000000000000000,""price"":1212.68,""recipient"":""0x2fb6e909443d69afa6d25dce07ecc1193cfb1ad9""}]"
08/09/54846,23:43,send,Confirmed,ethereum,"","","","","","0.5","ETH","0x709f833c4378bd916c37260371e5ba6aeef600a9","606.34","USD",0.000397418736834,ETH,0.48194175378385512,USD,0xcc79b34d5d21821deeb6f9298068deb690648e36228960db70ccf069eb506511,https://etherscan.io/tx/0xcc79b34d5d21821deeb6f9298068deb690648e36228960db70ccf069eb506511,2022-11-16T18:49:11.000Z,"[]","[{""asset"":{""fungible"":{""id"":""eth"",""asset_code"":""eth"",""name"":""Ethereum"",""symbol"":""ETH"",""decimals"":18,""implementations"":{""aurora"":{""address"":null,""decimals"":18},""arbitrum"":{""address"":null,""decimals"":18},""optimism"":{""address"":null,""decimals"":18},""loopring"":{""address"":""0x0000000000000000000000000000000000000000"",""decimals"":18},""ethereum"":{""address"":null,""decimals"":18}},""type"":"""",""icon_url"":""https://token-icons.s3.amazonaws.com/eth.png"",""price"":{""value"":1210.6599999999892,""relative_change_24h"":-0.5135959109160324,""changed_at"":0},""is_displayable"":true,""is_verified"":true}},""quantity"":500000000000000000,""price"":1212.68,""recipient"":""0x709f833c4378bd916c37260371e5ba6aeef600a9""}]"
08/09/54846,20:23,send,Confirmed,ethereum,"","","","","","0.3","ETH","0xdb91ba1e90f7bff7dcf6c98feeb388f8bd2158b4","363.795","USD",0.000374358082224,ETH,0.4539653284089336,USD,0x546db7c6a06963d2752d3ab637f464be6ba5d2266e054d2ab86b6fdf0803f6f9,https://etherscan.io/tx/0x546db7c6a06963d2752d3ab637f464be6ba5d2266e054d2ab86b6fdf0803f6f9,2022-11-16T18:48:59.000Z,"[]","[{""asset"":{""fungible"":{""id"":""eth"",""asset_code"":""eth"",""name"":""Ethereum"",""symbol"":""ETH"",""decimals"":18,""implementations"":{""loopring"":{""address"":""0x0000000000000000000000000000000000000000"",""decimals"":18},""arbitrum"":{""address"":null,""decimals"":18},""aurora"":{""address"":null,""decimals"":18},""ethereum"":{""address"":null,""decimals"":18},""optimism"":{""address"":null,""decimals"":18}},""type"":"""",""icon_url"":""https://token-icons.s3.amazonaws.com/eth.png"",""price"":{""value"":1210.6599999999892,""relative_change_24h"":-0.5135959109160324,""changed_at"":0},""is_displayable"":true,""is_verified"":true}},""quantity"":300000000000000000,""price"":1212.65,""recipient"":""0xdb91ba1e90f7bff7dcf6c98feeb388f8bd2158b4""}]"
07/20/54844,00:23,approve,Confirmed,ethereum,"","","","","","","","","","",0.00070955709329992,ETH,0.8890892290466657584,USD,0xce472945869e3e72ebba54739926bc0009b825f3c6d8138f8f1e798fbd63bda1,https://etherscan.io/tx/0xce472945869e3e72ebba54739926bc0009b825f3c6d8138f8f1e798fbd63bda1,2022-11-16T00:47:47.000Z,"[]","[]"
07/20/54844,00:23,trade,Confirmed,ethereum,"0.6200539721595816","ETH","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","776.940028195398936432","USD","432840.45138636587","FORTUITY","0x191405c30e2b5f75a839a8c9f6f0253218896950","0","USD",0.00223129380601227,ETH,2.7958557648094945554,USD,0xa740e23d2d79da61e56a77dde179e2b548b9f0e33796ccf7b15e85516e6d2a27,https://etherscan.io/tx/0xa740e23d2d79da61e56a77dde179e2b548b9f0e33796ccf7b15e85516e6d2a27,2022-11-16T00:47:47.000Z,"[{""asset"":{""fungible"":{""id"":""eth"",""asset_code"":""eth"",""name"":""Ethereum"",""symbol"":""ETH"",""decimals"":18,""implementations"":{""optimism"":{""address"":null,""decimals"":18},""arbitrum"":{""address"":null,""decimals"":18},""loopring"":{""address"":""0x0000000000000000000000000000000000000000"",""decimals"":18},""aurora"":{""address"":null,""decimals"":18},""ethereum"":{""address"":null,""decimals"":18}},""type"":"""",""icon_url"":""https://token-icons.s3.amazonaws.com/eth.png"",""price"":{""value"":1210.6599999999892,""relative_change_24h"":-0.5135959109160324,""changed_at"":0},""is_displayable"":true,""is_verified"":true}},""quantity"":620053972159581600,""price"":1253.02,""sender"":""0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45""}]","[{""asset"":{""fungible"":{""id"":""0xc0b38fc49e084c95f1ed456aaefb6db12667cd8f"",""asset_code"":""0xc0b38fc49e084c95f1ed456aaefb6db12667cd8f"",""name"":""The Fortuities"",""symbol"":""FORTUITY"",""decimals"":18,""implementations"":{""ethereum"":{""address"":""0xc0b38fc49e084c95f1ed456aaefb6db12667cd8f"",""decimals"":18}},""type"":"""",""icon_url"":"""",""price"":{""value"":0,""relative_change_24h"":0,""changed_at"":0},""is_displayable"":true,""is_verified"":false}},""quantity"":4.3284045138636587e+23,""price"":0,""recipient"":""0x191405c30e2b5f75a839a8c9f6f0253218896950""}]"
06/28/54844,15:03,trade,Confirmed,ethereum,"432840.45138636587","FORTUITY","0x191405c30e2b5f75a839a8c9f6f0253218896950","0","USD","0.15","ETH","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","187.809","USD",0.002028167690096355,ETH,2.5393876380620422413,USD,0x291ad3c929e0fea838ac3a82edc619c5185e9797df3781c13b755dedc55d1d61,https://etherscan.io/tx/0x291ad3c929e0fea838ac3a82edc619c5185e9797df3781c13b755dedc55d1d61,2022-11-16T00:16:59.000Z,"[{""asset"":{""fungible"":{""id"":""0xc0b38fc49e084c95f1ed456aaefb6db12667cd8f"",""asset_code"":""0xc0b38fc49e084c95f1ed456aaefb6db12667cd8f"",""name"":""The Fortuities"",""symbol"":""FORTUITY"",""decimals"":18,""implementations"":{""ethereum"":{""address"":""0xc0b38fc49e084c95f1ed456aaefb6db12667cd8f"",""decimals"":18}},""type"":"""",""icon_url"":"""",""price"":{""value"":0,""relative_change_24h"":0,""changed_at"":0},""is_displayable"":true,""is_verified"":false}},""quantity"":4.3284045138636587e+23,""price"":0,""sender"":""0x191405c30e2b5f75a839a8c9f6f0253218896950""}]","[{""asset"":{""fungible"":{""id"":""eth"",""asset_code"":""eth"",""name"":""Ethereum"",""symbol"":""ETH"",""decimals"":18,""implementations"":{""loopring"":{""address"":""0x0000000000000000000000000000000000000000"",""decimals"":18},""arbitrum"":{""address"":null,""decimals"":18},""aurora"":{""address"":null,""decimals"":18},""optimism"":{""address"":null,""decimals"":18},""ethereum"":{""address"":null,""decimals"":18}},""type"":"""",""icon_url"":""https://token-icons.s3.amazonaws.com/eth.png"",""price"":{""value"":1210.6599999999892,""relative_change_24h"":-0.5135959109160324,""changed_at"":0},""is_displayable"":true,""is_verified"":true}},""quantity"":150000000000000000,""price"":1252.06,""recipient"":""0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45""}]"
